,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,Fuel_Price,Journey_Price
42,11.7,4.6,37,21.5,6,E10,0,0,0,1.38,0.74
43,10.2,4.3,44,21.5,7,E10,0,0,0,1.38,0.61
44,5.4,3.3,32,21.5,7,SP98,0,0,0,1.46,0.26
45,2.0,9.9,21,21.5,4,SP98,0,0,0,1.46,0.29
46,14.2,5.1,32,21.5,7,SP98,0,0,0,1.46,1.06
47,16.0,4.9,25,21.5,8,SP98,0,0,0,1.46,1.14
48,11.8,4.9,25,21.5,11,SP98,0,0,0,1.46,0.84
49,27.3,4.7,36,21.5,10,SP98,0,0,0,1.46,1.87
50,11.8,5.1,29,21.5,5,SP98,0,1,0,1.46,0.88
51,10.6,4.9,63,21.5,6,SP98,0,0,0,1.46,0.76
52,11.6,4.2,61,21.5,7,SP98,0,0,0,1.46,0.71
53,13.1,6.1,46,21.5,6,SP98,0,1,0,1.46,1.17
54,6.1,6.4,28,21.5,8,SP98,0,0,0,1.46,0.57
55,153.5,4.9,82,21.5,3,SP98,0,1,0,1.46,10.98
56,11.8,4.9,24,21.5,7,SP98,0,0,0,1.46,0.84
57,12.3,6.2,61,21.5,8,SP98,0,0,0,1.46,1.11
58,12.4,4.2,57,21.5,8,SP98,0,0,0,1.46,0.76
59,12.3,5.7,52,21.5,8,SP98,0,1,0,1.46,1.02
60,2.9,7.9,18,21.5,9,SP98,1,1,0,1.46,0.33
61,2.1,12.2,23,21.5,9,SP98,1,1,0,1.46,0.37
62,9.8,5.8,24,21.5,6,SP98,0,0,0,1.46,0.83
63,6.8,5.3,26,21.5,6,SP98,0,0,0,1.46,0.53
64,12.4,5.4,24,21.5,7,SP98,0,0,0,1.46,0.98
65,12.4,4.7,57,21.5,8,SP98,0,0,0,1.46,0.85
66,11.8,4.6,41,21.5,6,SP98,0,0,0,1.46,0.79
67,12.3,5.4,55,21.5,8,SP98,0,0,0,1.46,0.97
68,14.0,4.3,40,21.5,8,SP98,0,0,0,1.46,0.88
69,11.8,4.5,37,21.5,4,SP98,1,0,0,1.46,0.78
70,12.3,5.2,55,21.5,12,SP98,0,0,0,1.46,0.93
71,2.0,6.2,20,21.5,10,SP98,0,0,0,1.46,0.18
72,13.9,5.1,29,21.5,6,SP98,0,0,0,1.46,1.03
73,9.7,3.9,42,21.5,8,SP98,0,0,0,1.46,0.55
